id,segment_id,city,state,latitude,longitude,road_type,pothole_count,crack_type,crack_count,weather,traffic_level,speed_limit_kmph,avg_vehicle_speed_kmph,rainfall_mm,visibility,surface_age_months,accident_history_count,accident_risk,immediate_action,maintenance_priority,authority_responsible,response_time_hours,repair_status,date_reported
28,SEG-3062,Pune,Maharashtra,12.59878,85.63336,Highway,5,Alligator Crack,7,Hot,Moderate,96,59,92.2,Poor,51,8,Medium,Fill Pothole,Medium,Highways Dept,65,Temporary Repair,2025-07-08
29,SEG-7409,Madurai,Tamil Nadu,24.92112,92.58488,Village Road,11,Alligator Crack,30,Rainy,Moderate,48,58,167.67,Poor,58,8,High,Resurface Road,High,Municipality,5,Repaired,2025-09-02
30,SEG-1513,Indore,Madhya Pradesh,19.27198,70.46249,Village Road,19,Edge Crack,14,Humid,Low,32,23,165.68,Foggy,2,5,High,Resurface Road,High,Highways Dept,30,Repaired,2025-06-02
31,SEG-7945,Udaipur,Rajasthan,16.44316,84.05847,City Road,11,Edge Crack,33,Hot,Moderate,36,62,29.44,Poor,59,11,Critical,Immediate Barricade,Urgent,Highways Dept,58,Not Repaired,2025-11-18
32,SEG-8072,Surat,Gujarat,13.07142,76.88487,City Road,16,Edge Crack,7,Humid,Moderate,73,75,136.55,Foggy,41,12,High,Resurface Road,High,Panchayat,47,Repaired,2025-05-25
33,SEG-3388,Kochi,Kerala,25.91062,94.90205,City Road,20,Transverse Crack,31,Humid,Heavy,76,77,133.78,Clear,30,14,Critical,Immediate Barricade,Urgent,Municipality,69,Not Repaired,2025-03-09
34,SEG-5212,Ahmedabad,Gujarat,21.42313,92.84703,City Road,5,Transverse Crack,19,Humid,Low,90,35,175.84,Poor,24,15,High,Resurface Road,High,Highways Dept,61,Repaired,2025-06-26
35,SEG-3378,Hyderabad,Telangana,19.21087,81.38058,Highway,7,Edge Crack,37,Dry,Moderate,71,43,129.42,Poor,20,14,Critical,Immediate Barricade,Urgent,Highways Dept,62,Repaired,2025-08-20
36,SEG-4347,Chennai,Tamil Nadu,13.98031,76.91737,Village Road,24,Longitudinal Crack,21,Rainy,Low,58,89,15.61,Foggy,14,3,High,Resurface Road,High,Municipality,61,Temporary Repair,2025-07-28
37,SEG-5442,Thiruvananthapuram,Kerala,22.93509,87.61672,Highway,15,Alligator Crack,19,Humid,Heavy,43,20,125.71,Foggy,43,2,High,Resurface Road,High,Highways Dept,3,Repaired,2025-06-28
38,SEG-4708,Mysuru,Karnataka,9.30007,89.34855,Village Road,19,Edge Crack,37,Dry,Low,75,63,174.63,Foggy,21,7,Critical,Immediate Barricade,Urgent,Panchayat,36,Not Repaired,2025-01-24
39,SEG-9500,Ahmedabad,Gujarat,12.85276,94.35754,Highway,19,Longitudinal Crack,4,Rainy,Heavy,62,20,69.5,Poor,38,15,High,Resurface Road,High,Highways Dept,2,Repaired,2025-07-13
40,SEG-1357,Noida,Uttar Pradesh,22.79875,96.57297,City Road,21,Edge Crack,35,Dry,Moderate,89,53,63.7,Foggy,52,13,Critical,Immediate Barricade,Urgent,Highways Dept,7,Repaired,2025-06-21
41,SEG-1131,Hyderabad,Telangana,15.30197,76.09203,City Road,16,Alligator Crack,21,Hot,Low,86,73,175.37,Poor,33,4,High,Resurface Road,High,Municipality,68,Temporary Repair,2025-12-02
42,SEG-7525,Hyderabad,Telangana,24.5909,68.50919,Highway,25,Edge Crack,35,Dry,Moderate,47,74,9.88,Clear,58,8,Critical,Immediate Barricade,Urgent,Municipality,36,Repaired,2025-10-09
43,SEG-3292,Madurai,Tamil Nadu,24.40013,74.96043,City Road,16,Transverse Crack,7,Humid,Moderate,38,33,54.97,Poor,42,13,High,Resurface Road,High,Municipality,37,Not Repaired,2025-08-17
44,SEG-7771,Bengaluru,Karnataka,27.2681,91.70108,City Road,19,Longitudinal Crack,15,Hot,Heavy,92,88,105.93,Foggy,48,10,High,Resurface Road,High,Municipality,18,Temporary Repair,2025-01-11
45,SEG-5842,Mumbai,Maharashtra,23.28148,81.83252,Highway,13,Alligator Crack,10,Hot,Low,37,50,42.67,Foggy,32,5,Medium,Fill Pothole,Medium,Municipality,26,Temporary Repair,2025-01-03
46,SEG-3980,Madurai,Tamil Nadu,22.32123,79.31353,City Road,14,Alligator Crack,10,Hot,Moderate,99,34,163.42,Poor,19,12,High,Resurface Road,High,Municipality,28,Repaired,2025-01-11
47,SEG-8650,Bhopal,Madhya Pradesh,15.50917,78.61651,City Road,3,Edge Crack,1,Humid,Low,51,86,36.66,Poor,54,9,Low,Seal Cracks,Low,Municipality,23,Repaired,2025-11-06
48,SEG-7373,Noida,Uttar Pradesh,18.42846,68.35412,Village Road,19,Edge Crack,37,Rainy,Heavy,42,67,131.33,Poor,21,13,Critical,Immediate Barricade,Urgent,Panchayat,24,Temporary Repair,2025-12-09
49,SEG-8164,Madurai,Tamil Nadu,13.43866,92.81983,Highway,10,Alligator Crack,28,Dry,Moderate,85,44,128.23,Clear,10,5,High,Resurface Road,High,Panchayat,17,Not Repaired,2025-04-26
50,SEG-2237,Thiruvananthapuram,Kerala,15.08241,71.09157,Village Road,13,Alligator Crack,10,Humid,Moderate,100,75,14.67,Poor,43,7,High,Resurface Road,High,Highways Dept,12,Not Repaired,2025-06-18
51,SEG-8494,Delhi,Delhi,11.93192,83.69142,City Road,20,Alligator Crack,8,Hot,Heavy,60,89,4.89,Foggy,13,9,High,Resurface Road,High,Highways Dept,3,Not Repaired,2025-04-04
52,SEG-5189,Chennai,Tamil Nadu,10.53355,95.01865,Highway,8,Longitudinal Crack,25,Humid,Low,47,43,199.39,Poor,7,13,High,Resurface Road,High,Highways Dept,6,Temporary Repair,2025-04-11
53,SEG-6108,Nagpur,Maharashtra,14.43368,85.53628,Highway,10,Longitudinal Crack,13,Dry,Heavy,56,90,119.22,Foggy,7,3,Medium,Fill Pothole,Medium,Municipality,48,Not Repaired,2025-09-01
54,SEG-1213,Delhi,Delhi,15.66611,73.63796,Highway,4,Transverse Crack,39,Humid,Heavy,61,61,165.99,Poor,29,2,High,Resurface Road,High,Panchayat,55,Repaired,2025-08-14
55,SEG-1969,Madurai,Tamil Nadu,11.25014,86.09016,Highway,4,Alligator Crack,25,Hot,Low,71,54,170.56,Foggy,29,4,High,Resurface Road,High,Municipality,67,Temporary Repair,2025-01-26
56,SEG-9252,Nagpur,Maharashtra,12.02256,96.83769,Village Road,18,Alligator Crack,25,Humid,Heavy,57,31,178.0,Clear,23,1,High,Resurface Road,High,Municipality,45,Temporary Repair,2025-02-25
57,SEG-8659,Thiruvananthapuram,Kerala,17.89886,89.03828,City Road,17,Transverse Crack,36,Dry,Moderate,86,39,150.84,Poor,60,13,Critical,Immediate Barricade,Urgent,Panchayat,21,Repaired,2025-09-19
58,SEG-6014,Thiruvananthapuram,Kerala,27.48774,71.12753,Village Road,8,Longitudinal Crack,20,Hot,Heavy,37,21,103.82,Foggy,58,12,High,Resurface Road,High,Highways Dept,56,Temporary Repair,2025-08-03
59,SEG-4480,Nagpur,Maharashtra,25.20353,79.02977,Highway,13,Alligator Crack,22,Humid,Low,52,85,174.33,Foggy,12,7,High,Resurface Road,High,Panchayat,52,Temporary Repair,2025-11-24
60,SEG-6164,Bhopal,Madhya Pradesh,20.3718,80.34852,City Road,10,Alligator Crack,7,Hot,Moderate,40,32,142.96,Clear,6,5,Medium,Fill Pothole,Medium,Panchayat,14,Repaired,2025-10-16
61,SEG-9836,Hyderabad,Telangana,23.34833,68.21373,Highway,7,Alligator Crack,26,Dry,Heavy,44,49,6.01,Foggy,35,7,High,Resurface Road,High,Panchayat,59,Repaired,2025-05-04
62,SEG-7941,Delhi,Delhi,24.2996,82.32105,Highway,9,Alligator Crack,35,Hot,Heavy,66,79,23.92,Foggy,34,11,Critical,Immediate Barricade,Urgent,Panchayat,43,Not Repaired,2025-10-20
63,SEG-1319,Pune,Maharashtra,8.67566,94.42174,Highway,11,Longitudinal Crack,38,Humid,Low,83,79,14.04,Foggy,44,5,Critical,Immediate Barricade,Urgent,Highways Dept,49,Temporary Repair,2025-01-22
64,SEG-1750,Chennai,Tamil Nadu,14.48397,91.40516,City Road,2,Alligator Crack,29,Hot,Heavy,35,47,147.67,Clear,41,9,High,Resurface Road,High,Highways Dept,60,Temporary Repair,2025-11-13
65,SEG-6974,Noida,Uttar Pradesh,11.37644,75.10778,City Road,8,Longitudinal Crack,5,Hot,Heavy,54,27,199.21,Foggy,40,6,Medium,Fill Pothole,Medium,Municipality,56,Temporary Repair,2025-01-24
66,SEG-2643,Madurai,Tamil Nadu,27.57725,93.59353,City Road,16,Edge Crack,0,Dry,Moderate,55,45,158.15,Foggy,34,14,High,Resurface Road,High,Municipality,12,Temporary Repair,2025-08-28
67,SEG-1388,Delhi,Delhi,17.28345,80.2822,Village Road,8,Alligator Crack,33,Rainy,Heavy,85,34,119.89,Foggy,1,1,High,Resurface Road,High,Municipality,63,Repaired,2025-05-07
68,SEG-3508,Coimbatore,Tamil Nadu,23.45656,93.54538,Village Road,14,Edge Crack,1,Rainy,Moderate,94,76,159.58,Poor,46,3,Medium,Fill Pothole,Medium,Panchayat,40,Temporary Repair,2025-12-06
69,SEG-4080,Hyderabad,Telangana,20.70429,75.39245,Highway,1,Transverse Crack,39,Rainy,Moderate,77,39,186.6,Clear,8,8,High,Resurface Road,High,Municipality,49,Repaired,2025-09-06
70,SEG-9160,Coimbatore,Tamil Nadu,22.29574,75.16877,City Road,25,Alligator Crack,36,Hot,Moderate,60,21,34.16,Poor,48,8,Critical,Immediate Barricade,Urgent,Panchayat,66,Not Repaired,2025-11-05
71,SEG-9140,Madurai,Tamil Nadu,10.60842,71.75432,Highway,3,Longitudinal Crack,37,Hot,Moderate,70,30,121.4,Foggy,37,13,Critical,Immediate Barricade,Urgent,Highways Dept,68,Not Repaired,2025-08-24
72,SEG-7836,Indore,Madhya Pradesh,20.6494,91.14763,Highway,6,Edge Crack,16,Dry,Moderate,84,77,30.86,Clear,21,7,Medium,Fill Pothole,Medium,Highways Dept,54,Repaired,2025-05-17
73,SEG-5426,Ahmedabad,Gujarat,12.84701,84.37802,Village Road,25,Longitudinal Crack,0,Hot,Moderate,50,54,183.93,Poor,38,4,Medium,Fill Pothole,Medium,Municipality,33,Repaired,2025-06-26
74,SEG-7289,Nagpur,Maharashtra,11.94168,94.68165,City Road,19,Transverse Crack,20,Dry,Heavy,91,20,36.23,Poor,17,13,Critical,Immediate Barricade,Urgent,Highways Dept,1,Repaired,2025-05-18
75,SEG-1844,Bengaluru,Karnataka,16.94706,74.56695,Highway,18,Alligator Crack,5,Rainy,Heavy,38,76,191.09,Clear,23,2,Medium,Fill Pothole,Medium,Highways Dept,20,Repaired,2025-03-16
76,SEG-3514,Delhi,Delhi,9.91789,95.44531,Village Road,8,Longitudinal Crack,13,Hot,Moderate,30,56,116.93,Clear,36,14,High,Resurface Road,High,Panchayat,11,Not Repaired,2025-08-21
77,SEG-8426,Warangal,Telangana,24.68784,93.61221,Highway,7,Edge Crack,18,Hot,Low,42,43,114.28,Foggy,18,2,Medium,Fill Pothole,Medium,Municipality,15,Temporary Repair,2025-11-23
78,SEG-2613,Noida,Uttar Pradesh,20.27439,96.86329,Highway,14,Longitudinal Crack,23,Humid,Low,48,39,162.08,Foggy,11,4,High,Resurface Road,High,Panchayat,43,Repaired,2025-09-25
79,SEG-8039,Surat,Gujarat,18.0916,81.73557,Village Road,24,Longitudinal Crack,10,Dry,Low,53,50,129.18,Poor,44,1,High,Resurface Road,High,Panchayat,13,Temporary Repair,2025-02-27
80,SEG-8285,Indore,Madhya Pradesh,15.47211,96.89891,City Road,13,Transverse Crack,13,Humid,Heavy,46,21,14.71,Foggy,8,9,High,Resurface Road,High,Highways Dept,3,Temporary Repair,2025-10-27
81,SEG-7342,Bengaluru,Karnataka,15.72236,96.23405,City Road,11,Longitudinal Crack,38,Dry,Heavy,59,71,98.64,Clear,39,12,Critical,Immediate Barricade,Urgent,Panchayat,18,Repaired,2025-01-17
82,SEG-8981,Ahmedabad,Gujarat,22.05266,90.73195,City Road,24,Alligator Crack,28,Rainy,Moderate,91,84,13.09,Foggy,36,3,Critical,Immediate Barricade,Urgent,Panchayat,53,Not Repaired,2025-11-22
83,SEG-7642,Noida,Uttar Pradesh,26.99122,68.40799,Highway,5,Edge Crack,12,Rainy,Low,66,74,103.41,Clear,13,8,Medium,Fill Pothole,Medium,Municipality,69,Not Repaired,2025-07-17
84,SEG-1236,Coimbatore,Tamil Nadu,20.3952,89.10097,Village Road,16,Longitudinal Crack,26,Humid,Heavy,93,29,56.82,Foggy,48,15,Critical,Immediate Barricade,Urgent,Panchayat,5,Not Repaired,2025-06-13
85,SEG-6323,Udaipur,Rajasthan,14.87593,81.63515,Highway,24,Edge Crack,1,Hot,Low,96,85,134.03,Poor,44,13,High,Resurface Road,High,Panchayat,31,Not Repaired,2025-06-24
86,SEG-7228,Indore,Madhya Pradesh,14.51185,81.43425,Highway,3,Longitudinal Crack,4,Dry,Low,63,64,46.77,Foggy,6,8,Medium,Fill Pothole,Medium,Municipality,37,Repaired,2025-12-20
87,SEG-6663,Indore,Madhya Pradesh,20.46997,91.03972,Village Road,25,Longitudinal Crack,28,Hot,Heavy,41,30,143.01,Poor,31,7,Critical,Immediate Barricade,Urgent,Highways Dept,36,Repaired,2025-09-16
88,SEG-1720,Hyderabad,Telangana,11.4654,80.38954,City Road,22,Transverse Crack,15,Humid,Moderate,71,39,48.66,Poor,60,3,High,Resurface Road,High,Municipality,49,Repaired,2025-06-02
89,SEG-2966,Indore,Madhya Pradesh,27.53592,86.48321,Village Road,16,Transverse Crack,27,Rainy,Low,35,72,130.14,Foggy,45,1,High,Resurface Road,High,Panchayat,58,Temporary Repair,2025-09-27
90,SEG-7050,Bengaluru,Karnataka,9.41786,85.94432,City Road,16,Edge Crack,5,Rainy,Moderate,61,82,59.25,Foggy,54,15,High,Resurface Road,High,Municipality,69,Not Repaired,2025-12-09
91,SEG-6936,Udaipur,Rajasthan,8.58651,88.35154,Highway,3,Alligator Crack,7,Dry,Heavy,36,23,3.27,Foggy,20,4,Low,Seal Cracks,Low,Panchayat,65,Not Repaired,2025-11-22
92,SEG-3672,Bengaluru,Karnataka,9.9297,78.68453,City Road,12,Transverse Crack,15,Dry,Moderate,84,71,81.43,Poor,54,14,High,Resurface Road,High,Panchayat,69,Not Repaired,2025-04-01
93,SEG-9326,Indore,Madhya Pradesh,18.39645,90.47607,Highway,20,Longitudinal Crack,30,Dry,Moderate,74,67,135.95,Foggy,14,14,Critical,Immediate Barricade,Urgent,Municipality,34,Temporary Repair,2025-07-07
94,SEG-7872,Surat,Gujarat,9.95172,80.75359,Village Road,10,Alligator Crack,28,Rainy,Low,50,87,67.04,Clear,58,10,High,Resurface Road,High,Highways Dept,49,Temporary Repair,2025-05-04
95,SEG-7491,Hyderabad,Telangana,21.69085,75.35912,Village Road,3,Longitudinal Crack,37,Humid,Moderate,53,32,196.04,Poor,18,14,Critical,Immediate Barricade,Urgent,Municipality,52,Temporary Repair,2025-02-19
96,SEG-4737,Nagpur,Maharashtra,21.13533,70.91629,Highway,24,Edge Crack,5,Dry,Moderate,35,22,84.83,Foggy,31,12,High,Resurface Road,High,Municipality,12,Not Repaired,2025-10-19
97,SEG-2083,Bengaluru,Karnataka,26.15759,76.83873,Highway,7,Edge Crack,5,Humid,Heavy,66,71,101.82,Foggy,41,0,Low,Seal Cracks,Low,Highways Dept,58,Temporary Repair,2025-12-10
98,SEG-2531,Delhi,Delhi,15.98452,78.31566,Highway,25,Longitudinal Crack,31,Hot,Heavy,98,51,82.48,Poor,49,12,Critical,Immediate Barricade,Urgent,Highways Dept,18,Repaired,2025-01-24
99,SEG-4799,Thiruvananthapuram,Kerala,13.04529,93.02904,Village Road,1,Edge Crack,28,Rainy,Low,36,51,71.14,Clear,23,7,High,Resurface Road,High,Highways Dept,63,Temporary Repair,2025-02-10
100,SEG-2709,Chennai,Tamil Nadu,10.4264,80.53893,Highway,1,Transverse Crack,25,Rainy,Moderate,88,35,199.38,Foggy,43,7,High,Resurface Road,High,Municipality,19,Temporary Repair,2025-01-28
101,SEG-8817,Mysuru,Karnataka,8.9096,70.77626,City Road,18,Alligator Crack,25,Rainy,Moderate,35,73,89.91,Foggy,9,5,High,Resurface Road,High,Panchayat,18,Temporary Repair,2025-09-28
102,SEG-2116,Chennai,Tamil Nadu,14.76151,86.93279,Highway,4,Longitudinal Crack,30,Rainy,Low,73,59,66.53,Poor,51,11,High,Resurface Road,High,Municipality,63,Temporary Repair,2025-12-18
103,SEG-6156,Madurai,Tamil Nadu,15.12654,88.58178,City Road,14,Alligator Crack,16,Humid,Moderate,62,34,137.73,Clear,44,8,High,Resurface Road,High,Panchayat,19,Not Repaired,2025-03-15
104,SEG-6594,Thiruvananthapuram,Kerala,18.24719,92.21748,Highway,10,Longitudinal Crack,26,Hot,Moderate,37,33,55.13,Clear,1,13,High,Resurface Road,High,Municipality,34,Not Repaired,2025-03-02
105,SEG-6369,Mumbai,Maharashtra,18.76002,90.71713,Highway,14,Edge Crack,23,Rainy,Low,37,79,10.08,Poor,20,14,Critical,Immediate Barricade,Urgent,Highways Dept,63,Not Repaired,2025-06-17
106,SEG-8885,Pune,Maharashtra,16.11768,81.93566,Highway,5,Alligator Crack,7,Dry,Moderate,93,55,141.89,Foggy,13,1,Low,Seal Cracks,Low,Municipality,60,Repaired,2025-06-22
107,SEG-7431,Udaipur,Rajasthan,10.49597,85.39085,Highway,10,Transverse Crack,15,Dry,Low,44,29,20.75,Foggy,48,11,High,Resurface Road,High,Panchayat,16,Repaired,2025-05-02
108,SEG-3749,Coimbatore,Tamil Nadu,16.43159,92.36979,Village Road,20,Transverse Crack,38,Rainy,Low,63,73,120.82,Foggy,4,0,Critical,Immediate Barricade,Urgent,Municipality,16,Repaired,2025-01-18
109,SEG-6734,Kochi,Kerala,13.06868,79.92704,City Road,22,Alligator Crack,3,Rainy,Low,73,59,51.15,Foggy,40,13,High,Resurface Road,High,Panchayat,70,Repaired,2025-03-26
110,SEG-5704,Udaipur,Rajasthan,14.62279,78.69976,City Road,11,Transverse Crack,38,Dry,Heavy,69,31,169.91,Foggy,39,3,Critical,Immediate Barricade,Urgent,Highways Dept,56,Temporary Repair,2025-03-16
111,SEG-7243,Thiruvananthapuram,Kerala,20.45443,74.77344,Village Road,24,Alligator Crack,37,Dry,Heavy,58,33,104.89,Clear,5,10,Critical,Immediate Barricade,Urgent,Municipality,6,Repaired,2025-03-16
112,SEG-2539,Coimbatore,Tamil Nadu,14.67968,91.16706,Highway,2,Longitudinal Crack,12,Rainy,Low,50,36,132.52,Clear,29,4,Medium,Fill Pothole,Medium,Municipality,52,Temporary Repair,2025-12-24
113,SEG-1689,Surat,Gujarat,13.71884,74.43575,Highway,25,Edge Crack,16,Dry,Low,85,86,99.07,Foggy,38,0,High,Resurface Road,High,Highways Dept,66,Temporary Repair,2025-03-14
114,SEG-6545,Coimbatore,Tamil Nadu,26.86204,80.9292,Village Road,4,Alligator Crack,34,Humid,Moderate,37,68,84.59,Poor,19,13,Critical,Immediate Barricade,Urgent,Panchayat,26,Not Repaired,2025-10-27
115,SEG-4338,Delhi,Delhi,12.67201,96.02886,City Road,25,Transverse Crack,29,Rainy,Heavy,83,24,59.35,Poor,9,7,Critical,Immediate Barricade,Urgent,Highways Dept,71,Repaired,2025-02-26
116,SEG-4672,Hyderabad,Telangana,22.90684,76.72654,City Road,4,Longitudinal Crack,16,Rainy,Low,87,69,32.77,Foggy,57,6,Medium,Fill Pothole,Medium,Municipality,43,Temporary Repair,2025-08-23
117,SEG-1285,Udaipur,Rajasthan,8.74987,85.49873,Highway,13,Longitudinal Crack,30,Rainy,Heavy,61,47,68.97,Clear,51,5,High,Resurface Road,High,Highways Dept,65,Temporary Repair,2025-08-17
118,SEG-4893,Mumbai,Maharashtra,10.63804,94.17324,City Road,22,Longitudinal Crack,3,Dry,Heavy,55,59,90.4,Poor,29,11,High,Resurface Road,High,Highways Dept,25,Not Repaired,2025-09-23
119,SEG-5674,Noida,Uttar Pradesh,14.67019,71.87331,Village Road,7,Alligator Crack,37,Rainy,Moderate,61,24,40.15,Clear,19,8,Critical,Immediate Barricade,Urgent,Highways Dept,8,Temporary Repair,2025-07-17
120,SEG-2200,Indore,Madhya Pradesh,19.07752,94.56122,Village Road,1,Longitudinal Crack,40,Hot,Heavy,43,44,80.11,Clear,4,12,Critical,Immediate Barricade,Urgent,Municipality,26,Temporary Repair,2025-12-27
121,SEG-5082,Ahmedabad,Gujarat,22.41981,93.87519,Highway,24,Longitudinal Crack,14,Hot,Moderate,84,67,123.21,Foggy,17,8,High,Resurface Road,High,Highways Dept,60,Repaired,2025-09-05
122,SEG-7945,Madurai,Tamil Nadu,13.63255,80.80661,Village Road,20,Transverse Crack,34,Hot,Low,49,21,170.79,Foggy,55,3,Critical,Immediate Barricade,Urgent,Municipality,62,Temporary Repair,2025-06-11
123,SEG-1882,Chennai,Tamil Nadu,22.78902,69.20933,City Road,1,Longitudinal Crack,32,Dry,Low,55,40,5.55,Clear,10,5,High,Resurface Road,High,Highways Dept,17,Repaired,2025-05-10
124,SEG-2249,Udaipur,Rajasthan,11.03768,81.7663,Village Road,25,Longitudinal Crack,15,Rainy,Low,95,63,171.01,Foggy,24,10,Critical,Immediate Barricade,Urgent,Panchayat,55,Repaired,2025-01-09
125,SEG-1030,Mysuru,Karnataka,21.17498,96.30111,City Road,12,Transverse Crack,18,Dry,Heavy,81,59,167.94,Foggy,44,14,High,Resurface Road,High,Panchayat,13,Temporary Repair,2025-02-11
